Dates,03-08-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
6 Iron,73,102.1,L5.7,21.9,5288,L13.1,5151,L1195,28.7,149.1,153.3,L27.4,45.8,R1.8,L7.6,0.4,29.0
6 Iron,74,110.9,L7.0,22.0,5223,L6.2,5192,L567,35.6,166.2,169.3,L26.7,49.0,L1.8,L8.2,-1.4,29.8
6 Iron,75,105.0,L4.7,22.8,6237,R2.1,6233,R230,32.7,150.5,152.5,L8.6,48.8,L4.7,L4.5,-1.8,30.8
6 Iron,76,108.0,L2.5,14.1,5351,R13.6,5201,R1256,20.3,156.9,166.1,R8.4,36.5,L2.8,L2.4,-2.8,19.7
6 Iron,77,109.8,L8.0,7.6,3402,L2.3,3400,L136,9.2,144.5,170.8,L19.9,20.5,L0.3,L9.9,-1.3,10.9
6 Iron,78,110.1,L5.4,21.1,4606,L15.3,4443,L1216,32.1,167.9,173.5,L33.4,45.1,R1.9,L7.2,-1.4,28.6
6 Iron,79,106.5,L4.8,24.0,4865,L4.4,4850,L375,35.4,158.8,162.0,L17.5,49.5,L1.7,L5.5,-0.5,32.1
6 Iron,80,111.4,L12.5,19.7,4653,L30.6,4003,L2371,27.9,165.2,170.5,L65.9,42.1,R0.2,L15.7,-1.1,26.6
6 Iron,81,101.8,L0.3,22.4,6612,R17.3,6311,R1971,28.7,141.9,144.5,R17.8,46.9,L3.8,R0.6,-1.8,30.3
6 Iron,82,111.1,L9.0,22.0,5026,L17.5,4793,L1510,34.5,166.8,170.6,L46.0,47.9,L0.7,L11.0,-0.9,29.7
6 Iron,83,113.6,L5.2,21.3,5900,L4.3,5883,L440,36.8,168.1,170.1,L20.1,49.7,L2.6,L5.9,-1.4,28.8
6 Iron,84,109.6,R0.2,25.1,6880,R13.1,6702,R1555,38.8,153.1,154.4,R18.0,51.9,L3.8,R1.2,-2.8,34.2
6 Iron,85,114.2,L8.5,21.4,4619,L20.8,4318,L1640,34.6,174.5,179.8,L50.8,46.1,R1.3,L11.0,0.6,28.6
6 Iron,86,113.4,L5.3,19.5,5983,L11.3,5868,L1169,33.2,167.4,170.5,L29.5,47.5,L0.1,L6.6,-0.3,26.3
6 Iron,87,109.6,L6.2,20.5,5067,L6.6,5034,L579,32.0,166.2,171.0,L24.9,45.4,L0.3,L7.7,-1.7,27.8
6 Iron,88,120.9,L8.5,18.6,5367,L20.2,5035,L1857,34.8,183.5,186.7,L54.5,46.2,R0.3,L10.6,-3.1,25.9
6 Iron,89,102.8,L0.3,21.8,5298,R12.3,5176,R1129,29.1,150.4,154.7,R12.7,46.0,L3.9,R0.6,-1.9,29.5
6 Iron,90,116.9,L4.4,22.4,5727,R1.6,5725,R164,41.1,173.7,175.5,L9.7,51.4,L4.4,L4.2,-3.5,30.9
6 Iron,91,109.8,L10.4,20.7,4349,L23.0,4002,L1702,29.9,166.3,171.2,L53.7,43.4,R2.1,L13.6,-1.3,28.0
6 Iron,92,106.3,L0.3,26.2,6490,R15.0,6269,R1681,37.8,148.6,150.0,R18.0,52.0,L4.6,R0.7,-2.0,35.4
6 Iron,93,111.1,L7.2,20.8,4732,L14.8,4576,L1206,32.6,169.5,174.9,L38.3,45.3,L0.2,L9.0,-1.6,28.3
6 Iron,94,110.1,L8.0,18.8,5374,L5.4,5350,L503,30.0,166.0,170.8,L28.0,44.3,L0.3,L10.0,-2.7,26.0
6 Iron,95,110.8,L8.5,19.0,5636,L6.4,5600,L628,30.9,165.5,169.5,L30.5,45.8,L3.8,L9.6,-3.3,26.3
6 Iron,96,112.5,L4.9,6.3,3239,R5.3,3225,R297,7.6,143.9,174.6,L7.6,17.7,L3.0,L4.7,-0.7,9.0
6 Iron,97,112.3,L3.2,24.0,6581,R4.7,6559,R540,40.1,160.4,161.8,L1.4,51.9,L3.2,L3.0,-2.4,32.6
6 Iron,98,117.8,L4.4,22.9,5991,L0.4,5991,L36,42.7,173.3,174.6,L12.7,52.2,L2.2,L4.9,-2.1,31.2
6 Iron,99,112.9,L9.0,15.2,4477,L1.8,4475,L140,24.4,172.5,181.9,L26.8,38.5,L3.9,L10.2,-1.2,20.8
,Average,101.1,L5.0,17.1,4921,R1.1,4706,R101,22.9,133.4,145.9,L12.9,36.7,L3.3,L5.3,-0.8,23.0
,Deviation,7.1,4.7,7.3,1365,16.3,1596,1171.1,11.3,43.0,32.9,18.1,14.9,3.4,5.9,1.7,9.5
